iso3,year,dependency_ratio
GRC,2011,51.871565678108944
GRC,2012,52.81100016740709
GRC,2013,53.732034447650655
GRC,2014,54.522104036871674
GRC,2015,55.19246382639827
GRC,2016,55.85158018539099
GRC,2017,56.43663225442898
GRC,2018,56.900060448046474
GRC,2019,57.28972864776905
GRC,2020,57.63851940084219
GRC,2021,58.382343883907375
GRC,2022,58.922929806342374
GRC,2023,58.906245109258684
HUN,1990,50.68179451273033
HUN,1991,49.89503560610724
HUN,1992,49.210057368222024
HUN,1993,48.60970082278576
HUN,1994,48.154591137872146
HUN,1995,47.861766173195974
HUN,1996,47.58990738021176
HUN,1997,47.302811074815985
HUN,1998,47.106141806115524
HUN,1999,46.86246741420101
HUN,2000,46.51349690012087
HUN,2001,46.07969475127922
HUN,2002,45.7484195392198
HUN,2003,45.52609579316164
HUN,2004,45.288275979050155
HUN,2005,45.11497125988245
HUN,2006,44.980492195798675
HUN,2007,44.95785448455875
HUN,2008,45.05488153711944
HUN,2009,45.24082442507382
HUN,2010,45.34743917296334
HUN,2011,45.492137125278546
HUN,2012,45.918319317644944
HUN,2013,46.55185645517238
HUN,2014,47.38323449866512
HUN,2015,48.25169703849344
HUN,2016,49.14196899236178
HUN,2017,49.95950667989464
HUN,2018,50.77444016607462
HUN,2019,51.866154849897285
HUN,2020,53.018285446645294
HUN,2021,53.77584557353639
HUN,2022,54.22137830622077
HUN,2023,54.570348045646355
IRL,1990,62.57665078517608
IRL,1991,61.24323350206331
IRL,1992,59.907733871627315
IRL,1993,58.48436853268147
IRL,1994,56.94036776048317
IRL,1995,55.27880852147753
IRL,1996,53.693947284916746
IRL,1997,52.31151187634572
IRL,1998,51.1260689188045
IRL,1999,50.110600408499906
IRL,2000,49.18559368250445
IRL,2001,48.28963679376992
IRL,2002,47.56126577147961
IRL,2003,47.15419314526121
IRL,2004,46.809691701458085
IRL,2005,46.240453748402224
IRL,2006,45.469983817723715
IRL,2007,45.0913998816561
IRL,2008,45.55784631615328
IRL,2009,46.67725070324875
IRL,2010,48.074864886278476
IRL,2011,49.41734827566408
IRL,2012,50.53694780877772
IRL,2013,51.39799874266555
IRL,2014,52.046457378433594
IRL,2015,52.50467378231916
IRL,2016,52.777436506090766
IRL,2017,52.94159765073911
IRL,2018,53.02875602989327
IRL,2019,53.037168702209094
IRL,2020,53.053557171269794
IRL,2021,53.044823515530624
IRL,2022,52.94664068672943
IRL,2023,52.808810976723684
ISL,1990,55.24255697636874
ISL,1991,55.15545818939056
ISL,1992,55.30694683237056
ISL,1993,55.665277597421756
ISL,1994,55.64644000163826
ISL,1995,55.40436113903237
ISL,1996,55.114613015239435
ISL,1997,54.72516435354273
ISL,1998,54.21109791850722
ISL,1999,53.77165507109793
ISL,2000,53.51096990441253
ISL,2001,53.33143216878037
ISL,2002,53.1259153534396
ISL,2003,52.69209064874928
ISL,2004,52.070392835758724
ISL,2005,51.02376311195484
ISL,2006,49.603561543992356
ISL,2007,48.47364257598429
ISL,2008,48.07934538193829
ISL,2009,48.591063047595945
ISL,2010,49.398490236329216
ISL,2011,49.88934986585727
ISL,2012,50.322471783718925
ISL,2013,50.74075108714883
ISL,2014,51.07241080163168
ISL,2015,51.222109973898455
ISL,2016,51.07891311495345
ISL,2017,50.550423723240556
ISL,2018,49.924340958744565
ISL,2019,49.63790219831754
ISL,2020,49.90714227276446
ISL,2021,50.35882367186806
ISL,2022,50.35167058286398
ISL,2023,50.15983024120544
ITA,1990,45.8326814441136
ITA,1991,45.12283922484079
ITA,1992,44.746753581697526
ITA,1993,45.01467859775426
ITA,1994,45.920085858719915
ITA,1995,46.27607101541361
ITA,1996,46.07987498131941
ITA,1997,46.554614730942916
ITA,1998,47.01996397843543
ITA,1999,47.54382480323452
ITA,2000,48.129444629317575
ITA,2001,48.70751758667852
ITA,2002,49.34738080275158
ITA,2003,49.8629152573739
ITA,2004,50.337203479249936
ITA,2005,50.94991371592751
ITA,2006,51.561516850994714
ITA,2007,51.90292803581208
ITA,2008,52.04706580694809
ITA,2009,52.3275513333924
ITA,2010,52.66012782133106
ITA,2011,53.12713779910055
ITA,2012,53.770789698464505
ITA,2013,54.43637543858976
ITA,2014,55.09989980077662
ITA,2015,55.60664253279568
ITA,2016,55.919769014988866
ITA,2017,56.12998478310196
ITA,2018,56.30790261792603
ITA,2019,56.56328472885538
ITA,2020,56.752609141443514
ITA,2021,56.92835478458645
ITA,2022,57.03263587874044
ITA,2023,57.14182383966264
JPN,1990,43.22590964801849
JPN,1991,42.936121526282065
JPN,1992,42.888305213783816
JPN,1993,42.94631582552742
JPN,1994,43.135024542937686
JPN,1995,43.4666246286158
JPN,1996,43.95205293276223
