iso3,year,ln_gdppc
IRL,2003,4.945566669812169
IRL,2004,4.967942815199192
IRL,2005,4.979606838710047
IRL,2006,4.977935895407102
IRL,2007,4.9803856522799945
IRL,2008,4.916401183122144
IRL,2009,4.89646026674284
IRL,2010,4.884734750440279
IRL,2011,4.881877965566486
IRL,2012,4.865998371289822
IRL,2013,4.871830225771068
IRL,2014,4.938969446245983
IRL,2015,5.130232209603398
IRL,2016,5.117981560844699
IRL,2017,5.1787249280341685
IRL,2018,5.221123335871953
IRL,2019,5.242985380243996
IRL,2020,5.34312050259737
IRL,2021,5.424908778745635
IRL,2022,5.450717715439447
IRL,2023,5.395959302966408
ISL,1980,4.920538901517594
ISL,1981,4.9373536676043805
ISL,1982,4.951912483107292
ISL,1983,4.896166976187968
ISL,1984,4.887119867134587
ISL,1985,4.88303762207979
ISL,1986,4.914532430868089
ISL,1987,4.956800231800925
ISL,1988,4.903858991499728
ISL,1989,4.866032769650991
ISL,1990,4.847910837596901
ISL,1991,4.827030754631896
ISL,1992,4.766384774703154
ISL,1993,4.76241408544646
ISL,1994,4.7667047831897476
ISL,1995,4.74422425179078
ISL,1996,4.758014226820015
ISL,1997,4.761746219408945
ISL,1998,4.796272644244544
ISL,1999,4.796724250054901
ISL,2000,4.797507022021072
ISL,2001,4.815015457838343
ISL,2002,4.80308034831873
ISL,2003,4.804912688084757
ISL,2004,4.843579870644315
ISL,2005,4.874266936327006
ISL,2006,4.881494697327495
ISL,2007,4.920730141446363
ISL,2008,4.922582495014837
ISL,2009,4.874148353377297
ISL,2010,4.839797553152242
ISL,2011,4.845809957866514
ISL,2012,4.843353140397021
ISL,2013,4.85729659119316
ISL,2014,4.849410421063776
ISL,2015,4.8572029717440275
ISL,2016,4.8904403571429755
ISL,2017,4.879473366357039
ISL,2018,4.882740966183112
ISL,2019,4.865820251286118
ISL,2020,4.829052920039415
ISL,2021,4.807000593269914
ISL,2022,4.842650915025221
ISL,2023,4.856450402572673
ITA,1980,4.878396825285403
ITA,1981,4.872012953128677
ITA,1982,4.882538683396521
ITA,1983,4.872724328938667
ITA,1984,4.8650541077164045
ITA,1985,4.863803367846284
ITA,1986,4.870077253252118
ITA,1987,4.872917703941682
ITA,1988,4.877301900916168
ITA,1989,4.88085105117664
ITA,1990,4.877977158167331
ITA,1991,4.8861378144281655
ITA,1992,4.879684720671984
ITA,1993,4.863777424741658
ITA,1994,4.861998625241424
ITA,1995,4.872045981255599
ITA,1996,4.86052011511564
ITA,1997,4.849632884688614
ITA,1998,4.845377448562564
ITA,1999,4.8363941149416405
ITA,2000,4.840529025953383
ITA,2001,4.852974201083223
ITA,2002,4.845131569427956
ITA,2003,4.8265994046734795
ITA,2004,4.80793343870618
ITA,2005,4.788071707903091
ITA,2006,4.77761508713146
ITA,2007,4.766834034007878
ITA,2008,4.752277476425064
ITA,2009,4.7338763596953
ITA,2010,4.720745559884869
ITA,2011,4.709506480310273
ITA,2012,4.667317788656683
ITA,2013,4.6360158007079075
ITA,2014,4.620271761025385
ITA,2015,4.610999343390354
ITA,2016,4.6127837788934745
ITA,2017,4.609352806622296
ITA,2018,4.6022736450607935
ITA,2019,4.597996254768054
ITA,2020,4.554435461886898
ITA,2021,4.587622369693865
ITA,2022,4.611084521773206
ITA,2023,4.610543454092087
JPN,1980,4.543526851084634
JPN,1981,4.5646454493656625
JPN,1982,4.596920863699215
JPN,1983,4.604722725892753
JPN,1984,4.6022771953231105
JPN,1985,4.617865488531193
JPN,1986,4.62337049103566
JPN,1987,4.635583390114662
JPN,1988,4.659724041464312
JPN,1989,4.675043492445069
JPN,1990,4.697326634368834
JPN,1991,4.721882942433292
JPN,1992,4.71271965014913
JPN,1993,4.6984110808437665
JPN,1994,4.6849060866011545
JPN,1995,4.689925228535267
JPN,1996,4.693982399664208
JPN,1997,4.671931132582698
JPN,1998,4.634615904165972
JPN,1999,4.60393377194317
JPN,2000,4.5957810153550716
JPN,2001,4.590505523515662
JPN,2002,4.580209585992303
JPN,2003,4.579816572234577
JPN,2004,4.574806592488921
JPN,2005,4.570900004307752
JPN,2006,4.559590432929667
JPN,2007,4.55399534774223
JPN,2008,4.544610692675749
JPN,2009,4.527986763327025
JPN,2010,4.544193516585176
JPN,2011,4.531380104840131
JPN,2012,4.539516440552344
JPN,2013,4.550131338397359
JPN,2014,4.538067473453252
JPN,2015,4.535146805137281
JPN,2016,4.531647072002253
